Label 0 1 2 3 4 5 6 7 8 9 
0 6 29 20 15 13 1 4 18 21 12 
0 15 29 7 15 22 3 17 20 5 11 
0 15 29 9 15 13 3 16 26 12 11 
0 6 28 7 15 9 3 16 26 25 11 
0 12 28 20 15 18 7 16 26 15 11 
0 12 29 19 15 11 7 15 29 12 12 
0 6 29 19 15 11 7 16 28 25 12 
0 15 28 19 15 13 7 1 22 12 12 
0 15 29 9 17 24 7 16 18 9 12 
0 10 28 9 17 13 11 16 16 9 12 
0 14 28 16 25 22 11 16 16 7 12 
0 14 29 11 26 24 11 16 26 7 12 
0 19 29 12 26 13 11 16 27 25 12 
0 10 29 9 26 11 11 16 27 25 12 
0 10 29 20 26 13 11 6 20 12 12 
0 22 29 12 26 13 11 8 16 9 12 
0 14 29 12 27 11 11 16 16 9 12 
0 12 29 16 28 18 11 16 16 14 12 
0 10 29 14 29 18 12 20 27 7 12 
0 14 28 14 29 22 15 24 27 25 12 
0 15 28 29 3 18 18 22 27 5 12 
0 16 28 28 1 24 19 24 27 12 12 
0 10 28 24 1 13 19 6 27 12 12 
0 12 28 22 1 13 19 16 27 18 12 
0 10 28 7 1 13 19 16 27 9 12 
0 3 24 22 1 24 19 24 27 6 12 
0 14 24 5 1 24 19 27 27 1 11 
0 6 23 26 1 26 19 13 27 0 6 
0 10 23 24 1 13 19 4 27 5 6 
0 27 22 7 2 6 11 4 26 29 6 
0 14 22 5 1 11 11 16 25 27 6 
0 15 23 3 1 18 11 16 27 7 6 
0 12 23 3 1 22 11 18 27 0 6 
0 14 23 5 1 11 11 15 27 26 6 
0 12 23 14 1 11 11 12 27 12 6 
0 19 23 20 1 22 11 16 29 28 5 
0 10 23 24 1 18 11 4 29 5 5 
0 12 23 8 1 22 11 16 29 18 5 
0 10 22 5 1 13 11 16 29 9 5 
0 14 22 22 1 13 11 16 29 25 5 
0 10 22 20 1 18 11 24 29 25 5 
0 19 22 5 1 24 11 24 29 9 5 
0 15 22 24 1 9 11 12 29 5 5 
0 15 23 24 1 22 11 18 29 9 5 
0 15 23 9 1 13 11 27 27 9 5 
0 23 23 5 1 21 15 4 27 0 1 
0 14 23 5 1 18 15 16 27 12 1 
0 10 23 5 1 11 15 5 27 26 1 
0 15 23 7 1 18 15 16 29 12 1 
0 12 24 14 1 13 15 16 27 26 1 
0 23 24 14 1 22 16 24 27 9 1 
0 15 24 14 1 13 19 16 27 25 1 
0 10 24 7 1 22 19 16 27 25 1 
0 15 26 1 1 13 19 19 27 12 4 
0 11 26 26 1 22 19 22 27 7 2 
0 23 28 22 1 24 19 27 27 9 3 
0 23 28 7 1 11 19 16 27 26 2 
0 10 28 24 1 13 19 16 27 12 2 
0 22 28 3 1 18 19 24 27 12 4 
0 16 28 20 1 13 19 5 27 7 4 
0 23 28 24 1 2 11 16 27 26 3 
0 8 28 5 1 11 11 16 27 9 2 
0 25 28 22 1 22 11 16 27 9 3 
0 25 28 14 1 13 11 6 27 25 2 
0 25 28 24 1 11 15 5 27 12 2 
0 27 26 7 1 22 14 16 27 7 4 
0 28 23 0 0 22 15 12 27 25 4 
0 29 19 26 1 13 19 2 27 12 4 
0 29 17 7 1 12 19 5 22 9 5 
0 0 17 9 1 11 19 16 26 12 5 
0 2 17 24 1 18 19 2 16 12 5 
0 9 17 24 1 9 19 16 16 5 5 
0 3 17 24 1 19 19 16 16 12 5 
0 0 14 9 1 13 19 16 20 9 5 
0 27 14 23 1 18 19 16 18 5 5 
0 25 14 22 1 22 19 16 16 5 4 
0 10 14 22 1 9 19 16 16 26 4 
0 27 16 7 1 13 19 4 16 12 4 
0 10 16 24 1 13 19 16 16 26 4 
0 10 16 24 1 19 19 24 16 12 4 
0 6 16 7 1 22 19 16 16 14 4 
0 14 16 22 1 11 19 8 16 12 4 
0 10 16 22 1 13 19 24 27 12 4 
0 16 16 20 1 13 19 16 27 12 4 
0 25 16 20 1 13 19 5 27 12 4 
0 27 16 22 1 13 19 24 27 8 4 
0 6 16 22 1 13 19 18 27 25 5 
